ticker,company_name,statement,fiscal_year_end,TaxEffectOfUnusualItems,TaxRateForCalcs,NormalizedEBITDA,TotalUnusualItems,TotalUnusualItemsExcludingGoodwill,NetIncomeFromContinuingOperationNetMinorityInterest,ReconciledDepreciation,ReconciledCostOfRevenue,EBITDA,EBIT,NetInterestIncome,InterestExpense,InterestIncome,NormalizedIncome,NetIncomeFromContinuingAndDiscontinuedOperation,TotalExpenses,RentExpenseSupplemental,TotalOperatingIncomeAsReported,DilutedAverageShares,BasicAverageShares,DilutedEPS,BasicEPS,DilutedNIAvailtoComStockholders,NetIncomeCommonStockholders,OtherunderPreferredStockDividend,PreferredStockDividends,NetIncome,MinorityInterests,NetIncomeIncludingNoncontrollingInterests,NetIncomeDiscontinuousOperations,NetIncomeContinuousOperations,TaxProvision,PretaxIncome,OtherNonOperatingIncomeExpenses,SpecialIncomeCharges,OtherSpecialCharges,WriteOff,RestructuringAndMergernAcquisition,NetNonOperatingInterestIncomeExpense,TotalOtherFinanceCost,InterestExpenseNonOperating,InterestIncomeNonOperating,OperatingIncome,OperatingExpense,OtherOperatingExpenses,DepreciationAndAmortizationInIncomeStatement,DepreciationIncomeStatement,RentAndLandingFees,GrossProfit,CostOfRevenue,TotalRevenue,OperatingRevenue,Amortization,ResearchAndDevelopment,SellingGeneralAndAdministration,SellingAndMarketingExpense,GeneralAndAdministrativeExpense,OtherIncomeExpense,GainOnSaleOfBusiness,EarningsFromEquityInterest,GainOnSaleOfSecurity,ImpairmentOfCapitalAssets,NetPolicyholderBenefitsAndClaims,InsuranceAndClaims,AverageDilutionEarnings,GainOnSaleOfPPE,SecuritiesAmortization,OtherTaxes,ProvisionForDoubtfulAccounts,DepreciationAmortizationDepletionIncomeStatement,SalariesAndWages,EarningsFromEquityInterestNetOfTax,AmortizationOfIntangiblesIncomeStatement,OtherGandA,NetIncomeExtraordinary,ExciseTaxes
AC.PA,Accor,income_statement,2025-12-31,-16827000.0,0.237,1210000000.0,-71000000.0,-71000000.0,449000000.0,330000000.0,2699000000.0,1139000000.0,809000000.0,-109000000.0,158000000.0,41000000.0,503173000.0,449000000.0,4770000000.0,179000000.0,807000000.0,239764615.0,239391366.0,1.61,1.61,385000000.0,385000000.0,64000000.0,0.0,449000000.0,-50000000.0,499000000.0,,499000000.0,152000000.0,651000000.0,-27000000.0,-64000000.0,41000000.0,-15000000.0,38000000.0,-109000000.0,-8000000.0,158000000.0,41000000.0,869000000.0,2071000000.0,1562000000.0,330000000.0,330000000.0,179000000.0,2940000000.0,2699000000.0,5639000000.0,5639000000.0,,,,,,,,,,,,,,,,,,,,,,,,
AC.PA,Accor,income_statement,2024-12-31,-15768000.0,0.292,1386000000.0,-54000000.0,-54000000.0,610000000.0,341000000.0,2717000000.0,1332000000.0,991000000.0,-88000000.0,141000000.0,44000000.0,648232000.0,610000000.0,4827000000.0,188000000.0,786000000.0,246337615.0,245703487.0,2.33,2.34,610000000.0,575000000.0,35000000.0,0.0,610000000.0,-47000000.0,657000000.0,0.0,657000000.0,193000000.0,850000000.0,-37000000.0,6000000.0,-50000000.0,-47000000.0,91000000.0,-88000000.0,-9000000.0,141000000.0,44000000.0,779000000.0,2110000000.0,1581000000.0,341000000.0,341000000.0,188000000.0,2889000000.0,2717000000.0,5606000000.0,5606000000.0,,,,,,,,,,,,,,,,,,,,,,,,
AC.PA,Accor,income_statement,2023-12-31,2642120.765832,0.057437,1039000000.0,46000000.0,46000000.0,623000000.0,279000000.0,2637000000.0,1085000000.0,806000000.0,-82000000.0,127000000.0,52000000.0,579642120.765832,633000000.0,4332000000.0,23000000.0,735000000.0,252289352.0,252289352.0,2.509024,2.509024,588000000.0,588000000.0,45000000.0,,633000000.0,-17000000.0,650000000.0,10000000.0,640000000.0,39000000.0,679000000.0,-38000000.0,12000000.0,14000000.0,-37000000.0,11000000.0,-82000000.0,7000000.0,127000000.0,52000000.0,724000000.0,1830000000.0,1393000000.0,279000000.0,279000000.0,158000000.0,2554000000.0,2502000000.0,5056000000.0,5056000000.0,,,,,,,,,,,,,,,,,,,,,,,,
AC.PA,Accor,income_statement,2022-12-31,11234782.608696,0.165217,726000000.0,68000000.0,68000000.0,359000000.0,228000000.0,2179000000.0,794000000.0,566000000.0,-115000000.0,106000000.0,13000000.0,302234782.608696,402000000.0,3777000000.0,105000000.0,543000000.0,289208633.0,287142857.0,1.39,1.4,402000000.0,402000000.0,0.0,0.0,402000000.0,-25000000.0,426000000.0,43000000.0,384000000.0,76000000.0,460000000.0,-3000000.0,66000000.0,-43000000.0,-61000000.0,38000000.0,-115000000.0,9000000.0,106000000.0,13000000.0,447000000.0,1598000000.0,1265000000.0,228000000.0,228000000.0,105000000.0,2045000000.0,2179000000.0,4224000000.0,4224000000.0,,,,,,,,,,,,,,,,,,,,,,,,
AC.PA,Accor,income_statement,2021-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,77000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AI.PA,Air Liquide,income_statement,2025-12-31,11188800.0,0.252,7484300000.0,44400000.0,44400000.0,3517900000.0,2563500000.0,9651200000.0,7528700000.0,4965200000.0,-396200000.0,82700000.0,69000000.0,3484688800.0,3517900000.0,21705900000.0,,5278700000.0,578601974.0,576790647.0,6.08,6.1,3517900000.0,3517900000.0,0.0,,3517900000.0,-126500000.0,3644400000.0,,3644400000.0,1230500000.0,4882500000.0,,44400000.0,-267500000.0,,223100000.0,-396200000.0,382500000.0,82700000.0,69000000.0,5234300000.0,12054700000.0,4402800000.0,2563500000.0,2362200000.0,,17289000000.0,9651200000.0,26940200000.0,26940200000.0,201300000.0,,,,,,,,,,,,,,,,,,,,,,,
AI.PA,Air Liquide,income_statement,2024-12-31,-50830690.051246,0.239994,7323000000.0,-211800000.0,-211800000.0,3306100000.0,2505100000.0,10008200000.0,7111200000.0,4606100000.0,-418400000.0,78900000.0,75000000.0,3467069309.948754,3306100000.0,21900400000.0,,4945600000.0,635788462.0,634103320.0,5.2,5.218182,3306100000.0,3306100000.0,0.0,,3306100000.0,-133900000.0,3440000000.0,,3440000000.0,1086500000.0,4527200000.0,,-211800000.0,-14300000.0,,226100000.0,-418400000.0,414500000.0,78900000.0,75000000.0,5157400000.0,11892200000.0,4221400000.0,2505100000.0,2302000000.0,,17049600000.0,10008200000.0,27057800000.0,27057800000.0,203100000.0,,,,,,,,,,,,,,,,,,,,,,,
AI.PA,Air Liquide,income_statement,2023-12-31,-116181000.0,0.234,7206900000.0,-496500000.0,-496500000.0,3078000000.0,2482000000.0,11146800000.0,6710400000.0,4228400000.0,-416200000.0,73100000.0,69400000.0,3458319000.0,3078000000.0,22539600000.0,,4571500000.0,635234522.0,633388801.0,4.845455,4.863636,3078000000.0,3078000000.0,0.0,,3078000000.0,-110400000.0,3188400000.0,,3188400000.0,971800000.0,4155300000.0,,-496500000.0,332700000.0,,163800000.0,-416200000.0,412500000.0,73100000.0,69400000.0,5068000000.0,11392800000.0,4045200000.0,2482000000.0,2277600000.0,,16460800000.0,11146800000.0,27607600000.0,27607600000.0,204400000.0,,,,,,,,,,,,,,,,,,,,,,,
AI.PA,Air Liquide,income_statement,2022-12-31,-146669900.0,0.257,6986500000.0,-570700000.0,-570700000.0,2758800000.0,2465900000.0,13813000000.0,6415800000.0,3949900000.0,-386000000.0,44800000.0,33000000.0,3182830100.0,2758800000.0,25072200000.0,,4291100000.0,633949423.0,631703514.0,4.355372,4.363636,2758800000.0,2758800000.0,0.0,,2758800000.0,-145100000.0,2903900000.0,,2903900000.0,1002300000.0,3905100000.0,,-570700000.0,697500000.0,,-126800000.0,-386000000.0,374200000.0,44800000.0,33000000.0,4861800000.0,11259200000.0,4074200000.0,2465900000.0,2262100000.0,,16121000000.0,13813000000.0,29934000000.0,29934000000.0,203800000.0,,,,,,,,,,,,,,,,,,,,,,,
AIR.PA,Airbus,income_statement,2025-12-31,51465000.0,0.219,,235000000.0,235000000.0,5221000000.0,3133000000.0,62453000000.0,10253000000.0,7120000000.0,45000000.0,770000000.0,732000000.0,5037465000.0,5221000000.0,68184000000.0,,,790892128.0,789573213.0,6.6,6.61,5221000000.0,5221000000.0,0.0,,5221000000.0,261000000.0,4960000000.0,,4960000000.0,1390000000.0,6350000000.0,491000000.0,,,,,45000000.0,-83000000.0,770000000.0,732000000.0,5236000000.0,5731000000.0,,,,,10967000000.0,62453000000.0,73420000000.0,73420000000.0,,3153000000.0,2578000000.0,856000000.0,1722000000.0,,,,,,,,,,,,,,,,,,,
